ERROR  2016-07-13 23:13:12,507 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,508 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,508 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,508 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,508 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,508 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,508 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,508 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,508 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,508 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,509 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,509 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,509 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,509 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,509 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,509 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,509 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,509 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,509 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,509 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,510 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,510 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,510 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,510 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,510 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,510 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,510 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,510 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,510 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,510 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,511 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,511 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,511 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,511 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,511 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,511 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,511 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,511 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,511 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,511 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,512 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,512 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,512 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,512 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,512 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,512 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,512 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,512 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,512 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,513 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,513 : integer division or modulo by zero
ERROR  2016-07-13 23:13:12,513 : integer division or modulo by zero
